IPT	237	21.19	20.87	20.94	21.00
IPT	290	21.19	20.87	20.94	21.00
IPT	344	21.19	20.87	20.94	21.00
IPT	396	21.19	20.87	20.94	21.00
IPT	449	21.19	20.87	20.94	21.00
IPT	502	21.19	20.87	20.94	21.00
IPT	556	21.19	20.87	20.94	21.00
IPT	609	21.19	20.87	20.94	21.00
IPT	661	21.19	20.87	20.94	21.00
IPT	714	21.19	20.87	20.94	21.00
IPT	885	21.12	20.87	20.87	20.94
IPT	1587	21.12	20.87	20.87	20.94
IPT	2288	21.19	20.87	20.87	20.94
IPT	2990	21.12	20.87	20.87	20.94
IPT	3691	21.12	20.87	20.87	20.94
IPT	4392	21.19	20.87	20.87	20.94
IPT	5095	21.19	20.87	20.94	20.94
IPT	5796	21.12	20.87	20.87	21.00
IPT	6498	21.12	20.87	20.87	21.00
IPT	7199	21.19	20.87	20.87	20.94
IPT	7901	21.12	20.87	20.94	21.00
IPT	8602	21.12	20.87	20.94	21.00
IPT	9304	21.12	20.87	20.94	21.00
IPT	10005	21.12	20.87	20.94	21.00
IPT	10706	21.19	20.87	20.94	21.00
IPT	11408	21.19	20.87	20.94	21.00
IPT	12109	21.19	20.87	20.94	21.00
IPT	12812	21.19	20.87	20.94	21.00
IPT	13513	21.12	20.87	20.94	21.00
IPT	14215	21.12	20.87	20.94	21.00
IPT	14916	21.19	20.87	20.94	21.00
IPT	15618	21.12	20.87	20.87	21.00
IPT	16319	21.12	20.87	20.87	21.00
IPT	17020	21.19	20.87	20.94	21.00
IPT	17722	21.19	20.87	20.94	20.94
IPT	18424	21.19	20.87	20.87	21.00
IPT	19126	21.12	20.87	20.87	21.00
IPT	19827	21.12	20.87	20.87	20.94
IPT	20529	21.12	20.87	20.94	20.94
IPT	21230	21.12	20.87	20.87	20.94
IPT	21932	21.19	20.87	20.87	20.94
IPT	22633	21.12	20.87	20.87	20.94
IPT	23334	21.12	20.87	20.94	20.94
IPT	24037	21.12	20.87	20.87	21.00
IPT	24738	21.12	20.87	20.87	20.94
IPT	25440	21.12	20.87	20.87	20.94
IPT	26141	21.12	20.87	20.87	21.00
IPT	26843	21.12	20.87	20.94	21.00
IPT	27544	21.12	20.87	20.94	20.94
IPT	28246	21.12	20.87	20.87	21.00
IPT	28947	21.19	20.87	20.94	21.00
